Unnamed: 0,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2013-03-04,4,21200892,1610612748,MIA,Miami,44-14,22,28,19,28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,97,0.514,0.8420000000000001,0.23800000000000002,22,48,23,1610612748.0,1
2013-03-06,5,21200903,1610612748,MIA,Miami,45-14,25,30,22,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,97,0.43200000000000005,0.871,0.214,20,33,14,1610612748.0,1
2013-03-08,7,21200921,1610612748,MIA,Miami,46-14,28,19,29,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,102,0.532,0.769,0.381,23,39,15,1610612748.0,1
2013-03-10,5,21200938,1610612748,MIA,Miami,47-14,29,27,23,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,105,0.5589999999999999,0.71,0.5,20,28,12,1610612748.0,1
2013-03-12,5,21200952,1610612748,MIA,Miami,48-14,26,31,22,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,98,0.42700000000000005,0.733,0.3,27,45,14,1610612748.0,1
2013-03-13,1,21200956,1610612748,MIA,Miami,49-14,21,30,20,27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,98,0.467,0.852,0.25,25,39,13,1610612748.0,1
2013-03-15,7,21200975,1610612748,MIA,Miami,50-14,26,25,33,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.519,0.818,0.467,24,41,11,1610612748.0,1
2013-03-17,1,21200985,1610612748,MIA,Miami,51-14,27,28,21,32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,108,0.5820000000000001,0.69,0.455,31,26,12,1610612748.0,1
2013-03-18,6,21200998,1610612748,MIA,Miami,52-14,19,34,25,27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,105,0.494,0.667,0.35,25,39,14,1610612748.0,1
2013-03-20,2,21201009,1610612748,MIA,Miami,53-14,24,10,34,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,98,0.444,0.733,0.414,21,34,13,1610612748.0,1
2013-03-22,5,21201026,1610612748,MIA,Miami,54-14,22,29,22,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,103,0.5589999999999999,0.731,0.5329999999999999,21,33,18,1610612748.0,1
2013-03-24,2,21201041,1610612748,MIA,Miami,55-14,23,24,26,36,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,109,0.5,0.87,0.433,28,48,10,1610612748.0,1
