GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2016-02-10,8,21500796,1610612737,ATL,Atlanta,31-24,28,25,38,22,0,0,0,0,0,0,0,0,0,0,113,0.478,0.9329999999999999,0.39399999999999996,25,46,12,1610612737.0,1
2016-02-19,4,21500808,1610612737,ATL,Atlanta,31-25,19,33,29,30,0,0,0,0,0,0,0,0,0,0,111,0.47100000000000003,1.0,0.444,27,42,21,1610612737.0,1
2016-02-20,1,21500819,1610612737,ATL,Atlanta,31-26,29,21,18,26,11,4,0,0,0,0,0,0,0,0,109,0.415,0.667,0.22,31,49,16,1610612737.0,1
2016-02-22,4,21500836,1610612737,ATL,Atlanta,31-27,15,24,36,17,0,0,0,0,0,0,0,0,0,0,92,0.419,0.625,0.294,23,47,17,1610612737.0,1
2016-02-26,5,21500865,1610612737,ATL,Atlanta,32-27,26,25,28,24,0,0,0,0,0,0,0,0,0,0,103,0.41600000000000004,0.917,0.20600000000000002,28,48,11,1610612737.0,1
2016-02-28,2,21500878,1610612737,ATL,Atlanta,33-27,25,21,22,19,0,0,0,0,0,0,0,0,0,0,87,0.494,0.6,0.47100000000000003,29,48,15,1610612737.0,1
2016-03-01,5,21500895,1610612737,ATL,Atlanta,33-28,26,22,22,27,8,0,0,0,0,0,0,0,0,0,105,0.46299999999999997,0.792,0.364,25,42,17,1610612737.0,1
2016-03-04,10,21500921,1610612737,ATL,Atlanta,34-28,26,28,20,32,0,0,0,0,0,0,0,0,0,0,106,0.544,0.731,0.46399999999999997,31,39,10,1610612737.0,1
2016-03-05,8,21500929,1610612737,ATL,Atlanta,35-28,25,25,30,27,0,0,0,0,0,0,0,0,0,0,107,0.449,0.85,0.37,26,53,18,1610612737.0,1
2016-03-08,4,21500947,1610612737,ATL,Atlanta,36-28,16,25,25,25,0,0,0,0,0,0,0,0,0,0,91,0.475,0.5,0.32,15,41,16,1610612737.0,1
2016-03-10,1,21500959,1610612737,ATL,Atlanta,36-29,21,27,27,21,0,0,0,0,0,0,0,0,0,0,96,0.42700000000000005,0.7040000000000001,0.304,17,33,11,1610612737.0,1
2016-03-12,5,21500974,1610612737,ATL,Atlanta,37-29,18,31,22,24,0,0,0,0,0,0,0,0,0,0,95,0.429,0.706,0.324,27,47,11,1610612737.0,1
2016-03-13,2,21500984,1610612737,ATL,Atlanta,38-29,30,22,37,15,0,0,0,0,0,0,0,0,0,0,104,0.47100000000000003,0.9,0.5,27,50,15,1610612737.0,1
2016-03-16,5,21501007,1610612737,ATL,Atlanta,39-29,30,31,26,31,0,0,0,0,0,0,0,0,0,0,118,0.43799999999999994,0.8240000000000001,0.353,25,46,12,1610612737.0,1
2016-03-17,4,21501015,1610612737,ATL,Atlanta,40-29,33,21,33,29,0,0,0,0,0,0,0,0,0,0,116,0.5,0.857,0.462,32,40,12,1610612737.0,1
2016-03-19,5,21501029,1610612737,ATL,Atlanta,41-29,30,22,30,27,0,0,0,0,0,0,0,0,0,0,109,0.5,0.583,0.368,32,40,16,1610612737.0,1
2016-03-21,6,21501048,1610612737,ATL,Atlanta,41-30,30,29,27,16,0,0,0,0,0,0,0,0,0,0,102,0.48700000000000004,0.765,0.39399999999999996,23,33,14,1610612737.0,1
2016-03-23,1,21501056,1610612737,ATL,Atlanta,42-30,22,30,29,41,0,0,0,0,0,0,0,0,0,0,122,0.536,0.682,0.405,32,41,16,1610612737.0,1
2016-03-25,4,21501076,1610612737,ATL,Atlanta,43-30,29,22,24,26,0,0,0,0,0,0,0,0,0,0,101,0.423,0.8240000000000001,0.156,26,45,11,1610612737.0,1
2016-03-26,4,21501085,1610612737,ATL,Atlanta,44-30,27,29,27,29,0,0,0,0,0,0,0,0,0,0,112,0.45299999999999996,0.929,0.382,34,39,4,1610612737.0,1
2016-03-28,3,21501099,1610612737,ATL,Atlanta,45-30,22,30,28,22,0,0,0,0,0,0,0,0,0,0,102,0.424,0.893,0.22699999999999998,22,48,8,1610612737.0,1
2016-03-30,1,21501113,1610612737,ATL,Atlanta,45-31,20,21,26,30,0,0,0,0,0,0,0,0,0,0,97,0.446,0.6920000000000001,0.424,24,44,18,1610612737.0,1
2016-04-01,4,21501131,1610612737,ATL,Atlanta,45-32,23,18,30,25,12,0,0,0,0,0,0,0,0,0,108,0.4,0.885,0.3,25,48,15,1610612737.0,1
2016-04-05,4,21501157,1610612737,ATL,Atlanta,46-32,28,16,26,33,0,0,0,0,0,0,0,0,0,0,103,0.41100000000000003,0.737,0.324,26,50,16,1610612737.0,1
2016-04-07,1,21501173,1610612737,ATL,Atlanta,47-32,28,19,23,25,0,0,0,0,0,0,0,0,0,0,95,0.434,0.81,0.375,23,41,13,1610612737.0,1
2016-04-09,2,21501188,1610612737,ATL,Atlanta,48-32,34,33,26,25,0,0,0,0,0,0,0,0,0,0,118,0.523,0.818,0.515,31,44,17,1610612737.0,1
2016-04-11,1,21501203,1610612737,ATL,Atlanta,48-33,26,19,30,19,0,0,0,0,0,0,0,0,0,0,94,0.44799999999999995,0.5329999999999999,0.267,23,42,15,1610612737.0,1
2016-04-13,5,21501221,1610612737,ATL,Atlanta,48-34,33,26,17,22,0,0,0,0,0,0,0,0,0,0,98,0.395,0.742,0.36700000000000005,22,47,22,1610612737.0,1
2015-10-27,2,21500002,1610612739,CLE,Cleveland,0-1,17,23,28,27,0,0,0,0,0,0,0,0,0,0,95,0.40399999999999997,0.588,0.31,26,50,10,1610612739.0,1
2015-10-28,8,21500011,1610612739,CLE,Cleveland,1-1,26,27,26,27,0,0,0,0,0,0,0,0,0,0,106,0.488,0.647,0.44799999999999995,29,54,19,1610612739.0,1
2015-10-30,1,21500021,1610612739,CLE,Cleveland,2-1,29,18,29,26,0,0,0,0,0,0,0,0,0,0,102,0.45299999999999996,0.857,0.24,25,49,11,1610612739.0,1
2015-11-02,1,21500046,1610612739,CLE,Cleveland,3-1,18,31,33,25,0,0,0,0,0,0,0,0,0,0,107,0.519,0.75,0.364,28,43,16,1610612739.0,1
2015-11-04,4,21500063,1610612739,CLE,Cleveland,4-1,18,20,32,26,0,0,0,0,0,0,0,0,0,0,96,0.39799999999999996,0.7190000000000001,0.259,21,48,11,1610612739.0,1
