GAME_SEQUENCE,GAME_ID,TEAM_ID,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,Playoffs
2,21700193,1610612739,25,13,23,43,0,0,0,0,104,0.39799999999999996,0.818,0.35600000000000004,21,48,20,1
4,21700207,1610612739,36,25,27,27,0,0,0,0,115,0.442,0.9,0.342,25,51,13,1
4,21700220,1610612739,24,32,22,27,13,0,0,0,118,0.467,0.7929999999999999,0.33299999999999996,24,51,15,1
2,21700242,1610612739,36,37,28,15,0,0,0,0,116,0.525,0.941,0.485,28,42,11,1
2,21700254,1610612739,20,25,32,42,0,0,0,0,119,0.524,0.7040000000000001,0.41200000000000003,21,33,10,1
4,21700270,1610612739,27,27,29,17,0,0,0,0,100,0.45799999999999996,0.733,0.33299999999999996,25,45,12,1
2,21700291,1610612739,29,24,33,27,0,0,0,0,113,0.47700000000000004,0.8,0.405,25,46,11,1
1,21700298,1610612739,35,40,18,15,0,0,0,0,108,0.494,0.7390000000000001,0.33299999999999996,21,45,13,1
1,21700313,1610612739,42,21,36,22,0,0,0,0,121,0.519,0.778,0.462,30,40,19,1
4,21700329,1610612739,28,38,27,23,0,0,0,0,116,0.56,0.9129999999999999,0.45799999999999996,24,31,10,1
6,21700344,1610612739,29,32,25,27,0,0,0,0,113,0.519,0.941,0.361,22,46,7,1
1,21700353,1610612739,19,29,25,28,0,0,0,0,101,0.474,0.619,0.359,28,43,15,1
3,21700369,1610612739,33,30,23,16,0,0,0,0,102,0.435,0.773,0.306,23,44,11,1
5,21700379,1610612739,23,29,26,27,0,0,0,0,105,0.48,0.76,0.483,26,33,17,1
1,21700397,1610612739,31,31,32,29,0,0,0,0,123,0.5579999999999999,0.7,0.526,35,37,13,1
3,21700415,1610612739,24,39,31,27,0,0,0,0,121,0.5,0.8,0.41700000000000004,32,39,14,1
2,21700430,1610612739,23,28,29,29,0,0,0,0,109,0.532,0.882,0.455,30,41,12,1
4,21700440,1610612739,27,33,23,23,0,0,0,0,106,0.47100000000000003,0.833,0.41200000000000003,24,42,8,1
3,21700453,1610612739,34,24,25,33,0,0,0,0,116,0.5,0.833,0.39,26,37,14,1
1,21700466,1610612739,29,29,24,33,0,0,0,0,115,0.512,0.8640000000000001,0.414,25,35,12,1
2,21700494,1610612739,28,16,23,25,0,0,0,0,92,0.318,0.84,0.41700000000000004,12,50,14,1
8,21700513,1610612739,27,28,25,15,0,0,0,0,95,0.43200000000000005,0.76,0.387,19,37,11,1
5,21700534,1610612739,32,21,16,32,0,0,0,0,101,0.42,0.8079999999999999,0.3,20,46,15,1
1,21700549,1610612739,28,25,38,36,0,0,0,0,127,0.518,0.757,0.406,28,40,10,1
6,21700559,1610612739,21,26,21,20,0,0,0,0,88,0.348,1.0,0.25,16,48,14,1
5,21700582,1610612739,31,36,40,24,0,0,0,0,131,0.5,0.71,0.441,25,45,17,1
4,21700594,1610612739,18,24,25,32,0,0,0,0,99,0.44,0.75,0.342,26,37,13,1
2,21700615,1610612739,24,16,32,27,0,0,0,0,99,0.382,0.833,0.231,18,35,9,1
2,21700619,1610612739,34,24,16,21,0,0,0,0,95,0.435,0.737,0.20600000000000002,19,46,11,1
9,21700646,1610612739,37,27,27,17,0,0,0,0,108,0.457,0.682,0.25,26,43,15,1
2,21700664,1610612739,36,31,17,20,0,0,0,0,104,0.447,0.667,0.294,22,46,20,1
1,21700674,1610612739,24,36,34,30,0,0,0,0,124,0.517,0.815,0.27,32,28,15,1
3,21700698,1610612739,29,26,26,21,0,0,0,0,102,0.486,0.8390000000000001,0.28600000000000003,19,41,18,1
2,21700715,1610612739,38,35,24,18,0,0,0,0,115,0.561,0.769,0.35100000000000003,27,44,20,1
4,21700734,1610612739,33,25,32,31,0,0,0,0,121,0.506,0.846,0.429,27,45,10,1
4,21700747,1610612739,27,36,21,30,0,0,0,0,114,0.452,0.7809999999999999,0.371,24,41,15,1
5,21700757,1610612739,27,21,24,19,0,0,0,0,91,0.35,0.763,0.231,18,45,16,1
5,21700779,1610612739,20,19,30,19,0,0,0,0,88,0.391,0.75,0.267,22,47,11,1
1,21700797,1610612739,43,24,22,9,0,0,0,0,98,0.429,0.7,0.324,19,36,14,1
3,21700807,1610612739,31,33,37,28,11,0,0,0,140,0.591,0.652,0.512,33,41,15,1
3,21700819,1610612739,31,30,36,26,0,0,0,0,123,0.535,0.667,0.429,31,43,9,1
3,21700835,1610612739,31,33,31,26,0,0,0,0,121,0.536,0.75,0.5329999999999999,22,41,11,1
