GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2018-01-11,1,21700614,1610612738,BOS,Boston,34-10,23,25,37,29,0,0,0,0,0,0,0,0,0,0,114,0.483,0.789,0.371,24,46,18,1610612738.0,1
2018-01-16,2,21700650,1610612738,BOS,Boston,34-11,25,23,32,24,9,0,0,0,0,0,0,0,0,0,113,0.396,0.875,0.38,27,53,18,1610612738.0,1
2018-01-18,1,21700663,1610612738,BOS,Boston,34-12,19,13,21,27,0,0,0,0,0,0,0,0,0,0,80,0.405,0.765,0.24100000000000002,13,31,19,1610612738.0,1
2018-01-21,1,21700683,1610612738,BOS,Boston,34-13,29,30,12,24,0,0,0,0,0,0,0,0,0,0,95,0.435,0.929,0.29600000000000004,22,44,15,1610612738.0,1
2018-01-23,5,21700700,1610612738,BOS,Boston,34-14,21,32,21,33,0,0,0,0,0,0,0,0,0,0,107,0.467,0.8,0.341,22,42,11,1610612738.0,1
2018-01-24,9,21700709,1610612738,BOS,Boston,35-14,25,37,29,22,0,0,0,0,0,0,0,0,0,0,113,0.419,0.955,0.35,25,47,13,1610612738.0,1
2018-01-27,5,21700728,1610612738,BOS,Boston,35-15,37,17,19,32,0,0,0,0,0,0,0,0,0,0,105,0.435,0.708,0.5,17,45,14,1610612738.0,1
2018-01-29,6,21700743,1610612738,BOS,Boston,36-15,32,24,24,31,0,0,0,0,0,0,0,0,0,0,111,0.473,0.8,0.47200000000000003,28,40,9,1610612738.0,1
2018-01-31,6,21700758,1610612738,BOS,Boston,37-15,27,23,31,22,0,0,0,0,0,0,0,0,0,0,103,0.48200000000000004,0.6,0.423,27,49,9,1610612738.0,1
2018-02-02,2,21700767,1610612738,BOS,Boston,38-15,26,27,41,25,0,0,0,0,0,0,0,0,0,0,119,0.506,0.9,0.45799999999999996,26,42,11,1610612738.0,1
2018-02-04,1,21700784,1610612738,BOS,Boston,39-15,19,19,31,28,0,0,0,0,0,0,0,0,0,0,97,0.41200000000000003,0.706,0.41700000000000004,24,51,11,1610612738.0,1
