Unnamed: 0,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2014-04-11,6,21301181,1610612741,CHI,Chicago,47-32,17,21,32,36,0,0,0,0,0,0,0,0,0,0,106,0.494,0.9129999999999999,0.263,27,39,11,1610612741.0,1
2014-04-13,4,21301197,1610612741,CHI,Chicago,47-33,22,17,25,25,0,0,0,0,0,0,0,0,0,0,89,0.392,0.7809999999999999,0.273,23,45,16,1610612741.0,1
2014-04-14,5,21301208,1610612741,CHI,Chicago,48-33,26,31,24,27,0,0,0,0,0,0,0,0,0,0,108,0.506,0.7809999999999999,0.385,27,36,8,1610612741.0,1
2014-04-16,1,21301223,1610612741,CHI,Chicago,48-34,21,18,21,20,6,0,0,0,0,0,0,0,0,0,86,0.395,0.667,0.364,21,44,11,1610612741.0,1
2013-10-29,2,21300002,1610612748,MIA,Miami,1-0,17,37,24,29,0,0,0,0,0,0,0,0,0,0,107,0.514,0.759,0.55,26,40,18,1610612748.0,1
2013-10-30,2,21300005,1610612748,MIA,Miami,1-1,14,35,45,16,0,0,0,0,0,0,0,0,0,0,110,0.494,0.769,0.4,30,31,19,1610612748.0,1
2013-11-01,9,21300028,1610612748,MIA,Miami,1-2,18,29,20,33,0,0,0,0,0,0,0,0,0,0,100,0.478,0.8059999999999999,0.5,24,30,15,1610612748.0,1
2013-11-03,2,21300042,1610612748,MIA,Miami,2-2,33,28,26,16,0,0,0,0,0,0,0,0,0,0,103,0.529,0.667,0.40700000000000003,32,32,16,1610612748.0,1
2013-11-05,1,21300051,1610612748,MIA,Miami,3-2,23,29,26,26,0,0,0,0,0,0,0,0,0,0,104,0.494,0.857,0.435,31,38,11,1610612748.0,1
2013-11-07,1,21300070,1610612748,MIA,Miami,4-2,28,24,24,26,0,0,0,0,0,0,0,0,0,0,102,0.535,0.636,0.313,27,30,16,1610612748.0,1
2013-11-09,5,21300089,1610612748,MIA,Miami,4-3,31,28,23,28,0,0,0,0,0,0,0,0,0,0,110,0.5770000000000001,0.6759999999999999,0.5,26,31,10,1610612748.0,1
2013-11-12,1,21300107,1610612748,MIA,Miami,5-3,32,24,28,34,0,0,0,0,0,0,0,0,0,0,118,0.5820000000000001,0.583,0.522,29,40,13,1610612748.0,1
2013-11-15,6,21300130,1610612748,MIA,Miami,6-3,31,29,26,24,0,0,0,0,0,0,0,0,0,0,110,0.541,0.833,0.385,17,34,16,1610612748.0,1
2013-11-16,1,21300136,1610612748,MIA,Miami,7-3,26,19,23,29,0,0,0,0,0,0,0,0,0,0,97,0.507,0.9129999999999999,0.4,18,43,15,1610612748.0,1
2013-11-19,3,21300158,1610612748,MIA,Miami,8-3,24,24,30,26,0,0,0,0,0,0,0,0,0,0,104,0.506,0.632,0.47600000000000003,26,37,15,1610612748.0,1
2013-11-20,4,21300164,1610612748,MIA,Miami,9-3,25,29,36,30,0,0,0,0,0,0,0,0,0,0,120,0.514,0.9059999999999999,0.625,27,40,21,1610612748.0,1
2013-11-23,5,21300191,1610612748,MIA,Miami,10-3,16,23,32,30,0,0,0,0,0,0,0,0,0,0,101,0.474,0.8079999999999999,0.24,19,33,12,1610612748.0,1
2013-11-25,4,21300205,1610612748,MIA,Miami,11-3,24,26,29,28,0,0,0,0,0,0,0,0,0,0,107,0.494,0.917,0.318,20,38,14,1610612748.0,1
2013-11-27,5,21300219,1610612748,MIA,Miami,12-3,22,27,21,25,0,0,0,0,0,0,0,0,0,0,95,0.486,0.84,0.21100000000000002,23,41,14,1610612748.0,1
2013-11-29,3,21300230,1610612748,MIA,Miami,13-3,27,30,21,12,0,0,0,0,0,0,0,0,0,0,90,0.474,0.6920000000000001,0.409,24,36,19,1610612748.0,1
2013-12-01,5,21300252,1610612748,MIA,Miami,14-3,24,23,14,38,0,0,0,0,0,0,0,0,0,0,99,0.522,0.76,0.444,19,34,14,1610612748.0,1
2013-12-03,4,21300264,1610612748,MIA,Miami,14-4,18,25,25,29,0,0,0,0,0,0,0,0,0,0,97,0.439,0.696,0.321,19,34,19,1610612748.0,1
2013-12-05,3,21300279,1610612748,MIA,Miami,14-5,20,24,19,24,0,0,0,0,0,0,0,0,0,0,87,0.41600000000000004,0.708,0.273,16,27,9,1610612748.0,1
2013-12-07,5,21300294,1610612748,MIA,Miami,15-5,24,31,21,27,0,0,0,0,0,0,0,0,0,0,103,0.551,0.684,0.222,23,44,20,1610612748.0,1
2013-12-08,2,21300300,1610612748,MIA,Miami,16-5,29,30,32,19,0,0,0,0,0,0,0,0,0,0,110,0.556,0.905,0.39299999999999996,26,34,17,1610612748.0,1
2013-12-10,2,21300311,1610612748,MIA,Miami,16-6,30,17,17,20,0,0,0,0,0,0,0,0,0,0,84,0.429,0.7,0.19,20,33,12,1610612748.0,1
2013-12-14,3,21300344,1610612748,MIA,Miami,17-6,35,33,16,30,0,0,0,0,0,0,0,0,0,0,114,0.5529999999999999,0.733,0.381,24,40,14,1610612748.0,1
2013-12-16,5,21300360,1610612748,MIA,Miami,18-6,26,21,36,34,0,0,0,0,0,0,0,0,0,0,117,0.634,0.8079999999999999,0.4,28,41,14,1610612748.0,1
2013-12-18,1,21300369,1610612748,MIA,Miami,19-6,22,19,30,26,0,0,0,0,0,0,0,0,0,0,97,0.48100000000000004,0.818,0.23800000000000002,21,37,12,1610612748.0,1
2013-12-20,5,21300387,1610612748,MIA,Miami,20-6,33,34,31,24,0,0,0,0,0,0,0,0,0,0,122,0.614,0.7140000000000001,0.435,32,39,17,1610612748.0,1
2013-12-23,5,21300411,1610612748,MIA,Miami,21-6,33,17,27,34,10,0,0,0,0,0,0,0,0,0,121,0.505,0.655,0.345,20,44,13,1610612748.0,1
2013-12-25,3,21300420,1610612748,MIA,Miami,22-6,21,30,25,25,0,0,0,0,0,0,0,0,0,0,101,0.513,0.588,0.33299999999999996,29,43,12,1610612748.0,1
2013-12-27,8,21300434,1610612748,MIA,Miami,22-7,32,23,18,16,14,0,0,0,0,0,0,0,0,0,103,0.442,0.762,0.344,23,35,16,1610612748.0,1
2013-12-28,11,21300446,1610612748,MIA,Miami,23-7,30,28,25,25,0,0,0,0,0,0,0,0,0,0,108,0.511,0.909,0.5710000000000001,24,36,12,1610612748.0,1
2013-12-30,5,21300457,1610612748,MIA,Miami,24-7,29,17,26,25,0,0,0,0,0,0,0,0,0,0,97,0.507,0.643,0.478,23,31,13,1610612748.0,1
2014-01-02,2,21300474,1610612748,MIA,Miami,24-8,33,28,26,27,0,0,0,0,0,0,0,0,0,0,114,0.513,0.8390000000000001,0.444,20,31,15,1610612748.0,1
2014-01-04,2,21300490,1610612748,MIA,Miami,25-8,30,18,33,29,0,0,0,0,0,0,0,0,0,0,110,0.541,0.774,0.375,23,40,15,1610612748.0,1
2014-01-05,3,21300500,1610612748,MIA,Miami,26-8,29,23,27,23,0,0,0,0,0,0,0,0,0,0,102,0.469,0.852,0.273,17,42,10,1610612748.0,1
2014-01-07,4,21300511,1610612748,MIA,Miami,27-8,25,18,32,32,0,0,0,0,0,0,0,0,0,0,107,0.513,0.7829999999999999,0.33299999999999996,24,39,12,1610612748.0,1
2014-01-09,1,21300529,1610612748,MIA,Miami,27-9,27,21,23,21,0,0,0,0,0,0,0,0,0,0,92,0.544,0.524,0.33299999999999996,20,32,15,1610612748.0,1
2014-01-10,7,21300537,1610612748,MIA,Miami,27-10,32,13,19,25,4,2,0,0,0,0,0,0,0,0,95,0.425,0.778,0.261,19,39,14,1610612748.0,1
